reward_today,future_reward,delay,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,fixation.started,text.started,key_resp.started,fixation.stopped,trial.stopped,key_resp.keys,key_resp.rt,key_resp.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
27,50,21,6,6,48,2,323.4875004000496,,323.46412490005605,323.4875004000496,324.4787366001401,324.4787366001401,324.49558129999787,329.7116685002111,t,5.225038200151175,None,458358,001,2024-11-20_22h04.39.878,delay discounting exp,2024.1.5,None,2024-11-20 22h04.52.798791 +0530,
67,75,119,7,0,49,5,329.74143960000947,,329.71372850006446,329.74143960000947,330.7251224000938,330.7251224000938,330.7416877001524,334.377298100153,t,3.6347473000641912,None,458358,001,2024-11-20_22h04.39.878,delay discounting exp,2024.1.5,None,2024-11-20 22h04.52.798791 +0530,
40,55,62,7,1,50,3,334.40354190021753,,334.37928720004857,334.40354190021753,335.389855600195,335.389855600195,335.4066709000617,339.9095863001421,t,4.514803000027314,None,458358,001,2024-11-20_22h04.39.878,delay discounting exp,2024.1.5,None,2024-11-20 22h04.52.798791 +0530,
27,50,21,7,2,51,2,339.935949300183,,339.9115276001394,339.935949300183,340.9248993000947,340.9248993000947,340.94097980018705,347.68979690014385,l,6.757887999992818,None,458358,001,2024-11-20_22h04.39.878,delay discounting exp,2024.1.5,None,2024-11-20 22h04.52.798791 +0530,
11,30,7,7,3,52,0,347.7150040001143,,347.69157400005497,347.7150040001143,348.7044484000653,348.7044484000653,348.72188200009987,351.3404859001748,l,2.6234733001329005,None,458358,001,2024-11-20_22h04.39.878,delay discounting exp,2024.1.5,None,2024-11-20 22h04.52.798791 +0530,
49,60,89,7,4,53,4,351.38192140008323,,351.3425511000678,351.38192140008323,352.3560328001622,352.3560328001622,352.40093300002627,355.3714563001413,t,3.0051810999866575,None,458358,001,2024-11-20_22h04.39.878,delay discounting exp,2024.1.5,None,2024-11-20 22h04.52.798791 +0530,
78,80,162,7,5,54,6,355.39895200007595,,355.3732663001865,355.39895200007595,356.3854797000531,356.3854797000531,356.4022387000732,359.4856066000648,t,3.086945899995044,None,458358,001,2024-11-20_22h04.39.878,delay discounting exp,2024.1.5,None,2024-11-20 22h04.52.798791 +0530,
15,35,13,7,6,55,1,359.504705700092,,359.4869278999977,359.504705700092,360.50052510015666,360.50052510015666,360.51714230002835,363.7679522000253,l,3.250590499956161,None,458358,001,2024-11-20_22h04.39.878,delay discounting exp,2024.1.5,None,2024-11-20 22h04.52.798791 +0530,
15,35,13,8,0,56,1,363.78269440005533,,363.76891510002315,363.78269440005533,364.784171000123,364.784171000123,364.784171000123,370.20198940020055,l,5.406856699846685,None,458358,001,2024-11-20_22h04.39.878,delay discounting exp,2024.1.5,None,2024-11-20 22h04.52.798791 +0530,
11,30,7,8,1,57,0,370.2290137000382,,370.20402660011314,370.2290137000382,371.21696160011925,371.21696160011925,371.23456380004063,373.918096100213,l,2.689008500194177,None,458358,001,2024-11-20_22h04.39.878,delay discounting exp,2024.1.5,None,2024-11-20 22h04.52.798791 +0530,
49,60,89,8,2,58,4,373.95103260013275,,373.9207890999969,373.95103260013275,374.9364137002267,374.9364137002267,374.9548604001757,378.0826406001579,t,3.1299565001390874,None,458358,001,2024-11-20_22h04.39.878,delay discounting exp,2024.1.5,None,2024-11-20 22h04.52.798791 +0530,
78,80,162,8,3,59,6,378.1082586001139,,378.08445670013316,378.1082586001139,379.0988537000958,379.0988537000958,379.1144973000046,381.2818511000369,t,2.175749400164932,None,458358,001,2024-11-20_22h04.39.878,delay discounting exp,2024.1.5,None,2024-11-20 22h04.52.798791 +0530,
27,50,21,8,4,60,2,381.3059312000405,,381.28343480010517,381.3059312000405,382.2959902000148,382.2959902000148,382.31248590000905,388.070204900112,t,5.7552017997950315,None,458358,001,2024-11-20_22h04.39.878,delay discounting exp,2024.1.5,None,2024-11-20 22h04.52.798791 +0530,
67,75,119,8,5,61,5,388.1133980001323,,388.0759945001919,388.1133980001323,389.0860713000875,389.0860713000875,389.1276567000896,392.8604598999955,t,3.7453669998794794,None,458358,001,2024-11-20_22h04.39.878,delay discounting exp,2024.1.5,None,2024-11-20 22h04.52.798791 +0530,
40,55,62,8,6,62,3,392.8894271000754,,392.8624748000875,392.8894271000754,393.8758745000232,393.8758745000232,393.89281120011583,396.0800668001175,t,2.1955704998690635,None,458358,001,2024-11-20_22h04.39.878,delay discounting exp,2024.1.5,None,2024-11-20 22h04.52.798791 +0530,
40,55,62,9,0,63,3,396.0990710000042,,396.0827761001419,396.0990710000042,397.0971950001549,397.0971950001549,397.1235561000649,401.0119175000582,t,3.905001699924469,None,458358,001,2024-11-20_22h04.39.878,delay discounting exp,2024.1.5,None,2024-11-20 22h04.52.798791 +0530,
15,35,13,9,1,64,1,401.03823140007444,,401.0138528000098,401.03823140007444,402.02378180017695,402.02378180017695,402.0407371001784,405.34227670007385,l,3.3066990999504924,None,458358,001,2024-11-20_22h04.39.878,delay discounting exp,2024.1.5,None,2024-11-20 22h04.52.798791 +0530,
67,75,119,9,2,65,5,405.36645240010694,,405.34388210019097,405.36645240010694,406.3563187001273,406.3563187001273,406.3734992002137,409.20794470002875,t,2.8481253997888416,None,458358,001,2024-11-20_22h04.39.878,delay discounting exp,2024.1.5,None,2024-11-20 22h04.52.798791 +0530,
49,60,89,9,3,66,4,409.22714140010066,,409.2092364002019,409.22714140010066,410.22378060012124,410.22378060012124,410.24010769999586,412.8066552001983,t,2.5695636000018567,None,458358,001,2024-11-20_22h04.39.878,delay discounting exp,2024.1.5,None,2024-11-20 22h04.52.798791 +0530,
27,50,21,9,4,67,2,412.8257207002025,,412.8082994001452,412.8257207002025,413.8220188000705,413.8220188000705,413.83854790008627,417.13934630015865,t,3.315209300024435,None,458358,001,2024-11-20_22h04.39.878,delay discounting exp,2024.1.5,None,2024-11-20 22h04.52.798791 +0530,
11,30,7,9,5,68,0,417.16070930007845,,417.1406944000628,417.16070930007845,418.1551171001047,418.1551171001047,418.1725868000649,420.82344280020334,l,2.6626555998809636,None,458358,001,2024-11-20_22h04.39.878,delay discounting exp,2024.1.5,None,2024-11-20 22h04.52.798791 +0530,
78,80,162,9,6,69,6,420.8517739002127,,420.82586720003746,420.8517739002127,421.83838700014167,421.83838700014167,421.8548176002223,424.38849590020254,t,2.5428783998358995,None,458358,001,2024-11-20_22h04.39.878,delay discounting exp,2024.1.5,None,2024-11-20 22h04.52.798791 +0530,
11,30,7,10,0,70,0,424.41520060016774,,424.39023160003126,424.41520060016774,425.40719710011035,425.40719710011035,425.42666580015793,429.03921330021694,l,3.6201585999224335,None,458358,001,2024-11-20_22h04.39.878,delay discounting exp,2024.1.5,None,2024-11-20 22h04.52.798791 +0530,
78,80,162,10,1,71,6,429.07222390011884,,429.0415279001463,429.07222390011884,430.05299560003914,430.05299560003914,430.0995880002156,432.60175420017913,t,2.538381499936804,None,458358,001,2024-11-20_22h04.39.878,delay discounting exp,2024.1.5,None,2024-11-20 22h04.52.798791 +0530,
40,55,62,10,2,72,3,432.62169520021416,,432.6029115000274,432.62169520021416,433.608349500224,433.608349500224,433.6278179001529,436.2194181000814,t,2.6083358000032604,None,458358,001,2024-11-20_22h04.39.878,delay discounting exp,2024.1.5,None,2024-11-20 22h04.52.798791 +0530,
27,50,21,10,3,73,2,436.2449935001787,,436.2212224001996,436.2449935001787,437.23357600020245,437.23357600020245,437.24961749999784,440.11664460017346,t,2.868921099929139,None,458358,001,2024-11-20_22h04.39.878,delay discounting exp,2024.1.5,None,2024-11-20 22h04.52.798791 +0530,
67,75,119,10,4,74,5,440.1327844001353,,440.1174595002085,440.1327844001353,441.13136850018054,441.13136850018054,441.14870470017195,443.066761800088,t,1.926530099939555,None,458358,001,2024-11-20_22h04.39.878,delay discounting exp,2024.1.5,None,2024-11-20 22h04.52.798791 +0530,
